name,rating,price,yelp_review_count,yelp_rating,longitude,latitude,delivers,location
Community Food & Juice,7.6,3,893,3.5,-73.9656753540039,40.8057975769043,FALSE,Harlem
Contra,8.6,3,322,4,-73.989063,40.719878,FALSE,NoLIta
Cookshop,8.4,3,2095,4,-74.0056084,40.7454251,TRUE,Chelsea
Coppelia,7,1,1347,4,-73.99995,40.73897,TRUE,West Village
Corkbuzz Wine Bar,2.5,4,399,4,-73.9931414,40.735088,FALSE,Union Square
Corner Bistro,8.4,1,1514,3.5,-74.00377,40.73805,FALSE,West Village
Cosme,8.7,3,1055,3.5,-73.988428,40.739691,TRUE,Flatiron district
Cotenna,7.5,2,402,4,-74.00357,40.72903,TRUE,Hudson Square
Court Street Grocers,8,2,274,4.5,-73.998717,40.676244,TRUE,Carroll Gardens
Covina,8.2,3,346,4.5,-73.9832149,40.7423054,FALSE,Kips Bay
Cowgirl Sea-Horse,4.5,2,583,4,-74.0004532,40.7081358,TRUE,Seaport District
Craftbar,8.4,3,1848,4.5,-73.986557,40.726373,FALSE,East Village
Crave Fishbar,8.3,3,721,4,-73.968683,40.755136,TRUE,Midtown East
Crif Dogs,7.5,1,2100,4,-73.983718,40.727157,TRUE,East Village
Crispo,7.7,3,967,4,-74.0016882,40.7392469,FALSE,Meatpacking District
Crown Shy,9.1,3,267,4.5,-74.0076944,40.7063449,FALSE,Financial District
Cull & Pistol,7.2,3,636,4,-74.0059285394953,40.7426589397899,FALSE,Meatpacking District
Da Umberto,7.9,4,165,4,-73.9958267211914,40.7396659851074,FALSE,Flatiron district
Daily Provisions,8.4,2,395,4.5,-73.9876685,40.73768,FALSE,Gramercy Park
Dan And John's Wings,8,1,352,4,-73.9853134,40.7278557,TRUE,East Village
Daniel,8.9,4,1587,4.5,-73.967607,40.7667736797858,FALSE,Midtown East
Danji,8.1,2,1008,4,-73.98686,40.764,FALSE,Times Square Theatre District
Davelle,8.4,2,121,4,-73.98605,40.71852,TRUE,Lower East Side
David Burke Kitchen,6,4,195,4,-73.96714,40.76436,TRUE,Midtown East
Death & Co,7.8,3,1515,4,-73.9847,40.72589,FALSE,East Village
Defonte's,8.3,1,329,4.5,-74.0053691263199,40.6789444357833,FALSE,Carroll Gardens
Del Posto,8.8,4,1440,4,-74.007533013261,40.7434155953035,FALSE,Meatpacking District
Denino’s,8.2,2,705,4,-74.1402754933448,40.6302266718896,TRUE,Stapleton
Desnuda,7,2,393,4,-73.9843,40.726255,FALSE,East Village
Di An Di,8.6,2,170,4,-73.95827,40.72969,TRUE,Greenpoint
Di Fara Pizza,9,2,3434,4,-73.961531,40.625093,TRUE,Midwood
Dim Sum Go Go,7.8,2,780,3.5,-73.9977319419107,40.7132415735622,TRUE,Chinatown
Dimes,6.2,3,254,3.5,-73.991539,40.714973,FALSE,Chinatown
Diner,8.8,3,746,4,-73.96559,40.71069,FALSE,Williamsburg
Dinosaur Bar-B-Que,7.7,2,1627,3.5,-73.9838929,40.6776201,TRUE,Gowanus
Dirt Candy,8.1,4,651,4,-73.9907183,40.7179075,FALSE,Little Italy
Dirty Bird To-Go,7.2,1,191,3,-74.01004,40.71599,TRUE,TriBeCa
Distilled,4.9,3,774,4,-74.0062975,40.7189994,TRUE,TriBeCa
Docks Oyster Bar & Seafood Grill,6.7,3,629,3.5,-73.9751169755325,40.7495410989218,TRUE,Murray Hill
Dojo Izakaya,6.8,2,37,4.5,-73.9995299,40.7146,FALSE,Chinatown
Dokebi,7.5,2,376,3.5,-73.9603,40.71421,TRUE,Williamsburg
Domodomo,7.7,3,1093,4.5,-74.00167,40.72803,FALSE,Hudson Square
Don Angie,8.4,3,315,4.5,-74.00197,40.73778,FALSE,West Village
Don Antonio,5.7,3,1426,4,-73.986708,40.762711,TRUE,Times Square Theatre District
Dos Caminos Meatpacking,3.5,3,1014,3,-74.0054753422738,40.7404330511257,TRUE,Meatpacking District
Ducks Eatery,4.6,2,623,4,-73.9846268,40.7306252,FALSE,East Village
Dudley's,7.1,3,707,4,-73.99042,40.71798,TRUE,Little Italy
Dylan Prime,7.3,4,550,4,-74.0098128,40.7211087,FALSE,TriBeCa
Earl’s Beer & Cheese,8,1,88,4,-73.9488606,40.7120245,TRUE,Williamsburg
East Harlem Bottling Co.,7.5,2,169,4,-73.9455429167249,40.79293791199,FALSE,Harlem
Eataly: La Birreria,7.7,2,5494,4,-73.989716662832,40.74195877796,FALSE,Flatiron district
Eataly: La Pizza & Pasta,6.6,2,6099,4,-73.9955956044561,40.7215934960083,TRUE,NoLIta
Ed's Lobster Bar,6.6,3,958,4,-73.997529,40.722079,TRUE,NoLIta
Edi And The Wolf,7.6,2,405,4,-73.97869,40.72384,FALSE,East Village
Edie Jo’s,7.2,2,46,3.5,-73.96056,40.65792,TRUE,Ditmas
Edward's Restaurant,7.2,2,230,3.5,-74.008369,40.716972,TRUE,TriBeCa
Egg,8,2,414,3.5,-73.961681,40.716753,FALSE,Williamsburg
Egg Shop,7.6,1,1117,4,-73.9952510689421,40.7204574688656,TRUE,Little Italy
Eisenberg’s Sandwich Shop,7.2,1,616,3.5,-73.99011,40.74114,TRUE,Flatiron district
El Almacén,8.2,2,648,4,-73.9564,40.71679,TRUE,Williamsburg
El Camion,3.5,2,691,4,-73.98105,40.7291,TRUE,East Village
El Cortez,7.5,2,103,3,-73.9330826,40.7070999,TRUE,Bushwick
El Floridita Restaurant,7.5,1,112,3.5,-73.9378327131271,40.8471171674521,TRUE,Harlem
El Quinto Pino,8.1,3,293,3.5,-74.00124,40.74743,TRUE,Chelsea
El Toro Blanco,4.7,3,389,3.5,-74.00277,40.72902,TRUE,Hudson Square
Elephant & Castle,7.9,2,536,4,-74.000729,40.736214,FALSE,Greenwich Village
Eleven Madison Park,9.2,4,2180,4.5,-73.9872074872255,40.7416907417333,FALSE,Flatiron district
Elias Corner,8,1,191,3.5,-73.9158142188523,40.7722769546621,FALSE,Astoria
Emily,9.1,2,772,4,-73.96643,40.68351,FALSE,Prospect Heights
Emily West Village,8,2,625,4,-74.0038400073579,40.729330068469,FALSE,Hudson Square
Emmy Squared,8.4,2,184,4,-73.98672,40.72598,FALSE,East Village
Empellón,6.9,3,361,4,-73.97473,40.75971,TRUE,Midtown East
Empellon Al Pastor,8,2,250,3.5,-73.98336,40.72668,TRUE,East Village
Empellon Taqueria,7.4,3,699,3.5,-74.0030294,40.7341219,TRUE,Greenwich Village
Empire Diner,7.3,2,206,3.5,-74.00429,40.74722,TRUE,Chelsea
Employees Only,7.2,3,1452,4,-74.00617,40.73343,TRUE,West Village
EN Japanese Brasserie,7.8,3,1247,4,-74.00698,40.7306,TRUE,Hudson Square
Epistrophy Cafe,7.2,2,449,3.5,-73.995401,40.721202,TRUE,NoLIta
Esca,7.6,3,716,3,-73.9923787862062,40.7591492682695,FALSE,Times Square
Esme,7.7,2,338,4.5,-73.9549667724914,40.7332033928175,TRUE,Greenpoint
Esperanto,7.5,2,695,3.5,-73.978054,40.725474,TRUE,East Village
Evelina,7.9,3,164,4.5,-73.971003,40.689722,TRUE,Fort Greene
Excuse My French,7.4,2,282,4.5,-73.98981,40.71844,TRUE,Lower East Side
Extra Fancy,7.8,3,361,3.5,-73.9579174570699,40.7144643419191,TRUE,Williamsburg
Extra Virgin,7.8,3,1244,3.5,-74.0031888223197,40.7353962496717,TRUE,West Village
Fanelli Cafe,7.7,1,374,3.5,-73.99878,40.72457,FALSE,NoLIta
Farida,8,2,305,4,-73.99441,40.75568,TRUE,Hudson Yards
Faro,7.2,3,280,4,-73.922839,40.707407,FALSE,Bushwick
Faun,8.1,3,149,4,-73.968883,40.678271,FALSE,Prospect Heights
Feast,7.3,2,469,4,-73.9881274,40.7325189,FALSE,Union Square
Fedora,8.5,3,365,4,-74.00306,40.73457,FALSE,Greenwich Village
Ferris,6,3,172,4,-73.98948,40.74631,FALSE,NoMad
Fiaschetteria Pistoia,7.7,2,166,4,-73.9773,40.72666,FALSE,East Village
Fiat Café,6.8,1,574,4,-73.995689,40.721433,TRUE,NoLIta
Fish,5.8,2,1440,4,-74.003463,40.731734,FALSE,Greenwich Village
Fish Market,7,2,547,4.5,-74.00192,40.70717,FALSE,Seaport District
Five Leaves,7,2,1599,4,-73.95159863632,40.72371830945,FALSE,Greenpoint
Fletcher's Brooklyn BBQ,6.8,2,7,3,-74.003509,40.707019,FALSE,Seaport District
Flex Mussels,7.9,3,904,4,-73.999661,40.737437,TRUE,Greenwich Village
Flora Bar,8.7,3,113,3.5,-73.963836,40.773406,FALSE,Upper East Side
Fort Defiance,7.5,2,351,4,-74.0135040283203,40.6766128540039,FALSE,Carroll Gardens
Frangos Peri Peri,7.3,1,51,4.5,-73.979444,40.727787,TRUE,East Village
Frank,7.4,3,685,3.5,-73.9887172038649,40.7268483205383,TRUE,NoHo
Frankel’s Delicatessen,8.4,2,244,4,-73.9509979,40.723826,TRUE,Greenpoint
Fred's at Barneys NY,7.4,4,1717,3.5,-73.9783795227192,40.7641277134065,FALSE,Times Square Theatre District
Freek’s Mill,7.6,3,386,4,-73.96869,40.67713,FALSE,Prospect Heights
Freemans,8.2,3,2055,4,-73.992466,40.721988,FALSE,NoLIta
Galli,7.7,2,930,4,-74.00127,40.72161,TRUE,SoHo
Gaonnuri,6.8,3,817,3.5,-73.98802,40.74757,FALSE,Koreatown
Garden Cafe,7,2,232,3.5,-73.920263,40.8681059,TRUE,Parkchester
Gato,7.3,3,1151,4,-73.9951947,40.7255312,FALSE,NoLIta
Gemma,6.2,3,658,3.5,-73.99166,40.72609,FALSE,NoHo
General Deb’s,7.7,2,60,3,-74.005192,40.728279,TRUE,Hudson Square
Gertie,7.4,2,72,4,-73.9555675,40.712389,TRUE,Williamsburg
Giuseppina’s,7.3,2,312,4.5,-73.9907741546631,40.6603430973463,FALSE,Park Slope
Glady’s,7.7,2,515,3.5,-73.957887,40.671705,FALSE,Prospect Heights
Glasserie,7.1,3,357,4,-73.9560697,40.7376154,FALSE,Greenpoint
Glaze Teriyaki Grill,7.7,1,131,3.5,-73.977183,40.763187,TRUE,Times Square Theatre District
Glou,7.5,2,32,4.5,-73.95406,40.662809,FALSE,Crown Heights
Goat Town,6.8,3,2180,4.5,-73.9872074872255,40.7416907417333,FALSE,Flatiron district
Gohan,7.3,2,47,4,-73.9917685836554,40.7150115072727,TRUE,Chinatown
Golden Diner,8.7,2,136,4.5,-73.994,40.71244,TRUE,Chinatown
Good Enough To Eat,7,2,1424,3.5,-73.9727859590175,40.7859436042416,TRUE,Upper West Side
Gordo’s Cantina,6.5,2,215,4,-73.91764,40.70489,TRUE,Bushwick
Gotan,7.9,2,380,4,-74.006607,40.719255,TRUE,TriBeCa
Gotham Bar And Grill,7.1,4,2890,4.5,-73.98825,40.73844,FALSE,Flatiron district
Gramercy Tavern,9.3,4,2890,4.5,-73.98825,40.73844,FALSE,Flatiron district
Gran Electrica,8.1,3,473,3.5,-73.99314,40.7027,FALSE,Fulton Ferry
Gran Tivoli,6.9,3,55,4,-73.99783,40.72104,FALSE,Little Italy
Grand Banks,7.1,3,429,4,-74.0158861928891,40.7203368579858,FALSE,TriBeCa
Grand Central Oyster Bar,7.7,3,1709,3,-73.9773735668119,40.7528172354909,FALSE,Murray Hill
Green Garden Village,6.9,2,43,4,-73.995878,40.7189831,FALSE,Little Italy
Gristmill,7.8,2,224,4.5,-73.9824806441803,40.6736889031443,FALSE,Park Slope
Haenyeo,7.8,2,117,4,-73.98116,40.67519,TRUE,Park Slope
Han Dynasty,7.9,2,271,4,-73.9825977757573,40.6911319610036,TRUE,Downtown Brooklyn
Hanjan,8.1,3,423,4,-73.9905130318771,40.7441830642509,FALSE,NoMad
Hanoi House,8.6,2,488,4,-73.98357,40.72698,FALSE,East Village
Hao Noodle & Tea,7.3,2,734,4,-73.9998929006093,40.7334863190479,TRUE,Greenwich Village
Harding's,6,3,361,4,-73.9887163,40.7393229,TRUE,Flatiron district
Harlem Shake,7.5,1,957,3.5,-73.9464158056276,40.8070988060148,TRUE,Harlem
Hart’s,8.3,3,5,4,-73.981628,40.757371,FALSE,Steinway
HaSalon,7,4,76,3,-73.9921808797062,40.7648145508807,FALSE,Times Square Theatre District
Hatsuhana,7.8,4,1338,4,-73.97692,40.75703,TRUE,Midtown East
Hearth,7.9,4,718,4,-73.983225,40.730006,FALSE,East Village
Hell's Kitchen,7.2,3,411,4,-73.9884334000586,40.7638823425707,TRUE,Times Square Theatre District
Her Name is Han,8.8,3,1192,4,-73.98473,40.74626,TRUE,Koreatown
Hide-Chan Ramen,7.7,2,1323,3.5,-73.9682,40.75613,TRUE,Midtown East
Highlands,7.2,3,404,4,-74.0010957,40.734345,FALSE,Greenwich Village
Hill Country Chicken,5.8,2,1162,3.5,-73.98924,40.74332,TRUE,NoMad
Holy Ground,7.8,3,67,4,-74.00859,40.71601,TRUE,TriBeCa
Hometown Bar-B-Que,8.9,2,1343,4,-74.0160489746129,40.6748965703426,TRUE,Carroll Gardens
Houdini Kitchen Laboratory,7.9,2,298,4,-73.902337,40.694148,TRUE,Bushwick
Hudson Malone,7,3,222,3.5,-73.9686406,40.7572621,FALSE,Midtown East
Hutong,6.7,4,278,3.5,-73.967443,40.761551,FALSE,Midtown East
Hwa Yuan Szechuan,8.3,3,267,4,-73.99598,40.7137,TRUE,Chinatown
Ichiran,7,2,817,4,-73.99062,40.74839,FALSE,Koreatown
Ikinari Steak,7.4,1,775,4,-73.98968,40.73088,TRUE,NoHo
Il Buco,8.8,4,673,4,-73.99299,40.72583,FALSE,NoHo
Il Buco Alimentari e Vineria,8.6,3,537,3.5,-73.992549,40.7264539,FALSE,NoHo
Il Mulino,7.9,4,547,4,-73.999159,40.729807,TRUE,Greenwich Village
Il Posto Accanto,8.3,3,216,4.5,-73.98403,40.72238,FALSE,East Village
Indian Road Café,7.6,2,601,4,-73.918440820966,40.872915157013,TRUE,Parkchester
Indochine,7.3,3,384,3.5,-73.99227,40.72917,FALSE,NoHo
Inti,7.1,2,344,3.5,-73.989576,40.767509,TRUE,Times Square Theatre District
Ippudo Westside,8.5,3,3671,4,-73.98661,40.76344,FALSE,Times Square Theatre District
Island Burgers & Shakes,5.2,1,683,4,-73.98802,40.76421,TRUE,Times Square Theatre District
Ivan Ramen,8.4,2,1289,3.5,-73.98454,40.72058,TRUE,Lower East Side
Ivan Ramen Slurp Shop,8.3,2,716,3,-73.9970355547241,40.7625346738425,TRUE,Hudson Yards
Izakaya Mew,6.9,2,2289,4,-73.9863203465939,40.7501853096499,TRUE,Midtown South
J.G. Melon,7.7,1,1272,3.5,-73.95931,40.77105,FALSE,Upper East Side
J.G. Melon Downtown,7.7,2,1272,3.5,-73.95931,40.77105,FALSE,Upper East Side
Jack's Wife Freda,7.2,2,1889,4,-73.997559999999993,40.72213,FALSE,NoLIta
Jack's Wife Freda West Village,7.4,1,1889,4,-73.997559999999993,40.72213,FALSE,NoLIta
Jacob Restaurant,7.6,1,348,4,-73.9439219,40.810025,FALSE,Harlem
Jacob's Pickles,7,3,4119,4,-73.9755284786224,40.7866504411994,TRUE,Upper West Side
JaJaJa,7.1,2,926,4.5,-73.9904247969389,40.7141530317142,TRUE,Lower East Side
James,7.9,3,449,3.5,-73.971489,40.678984,FALSE,Prospect Heights
